Observation volumes in steradian for an MWA instrumental beam in high band (~165MHz -- 200MHz), separated by pointings from zenith and w-plane index. Calculated from beam_ft_<>_9_15_xx_sq_new.dat
Pointing from zenith, w-plane index, observation volume (str)
 -4, 0, 0.032193
 -3, 0, 0.044317
 -2, 0, 0.054773
 -1, 0, 0.061857
 0, 0, 0.064389
 1, 0, 0.061812
 2, 0, 0.054692
 3, 0, 0.044222
 4, 0, 0.032112
 -4, 1, 0.018816
 -3, 1, 0.035474
 -2, 1, 0.055791
 -1, 1, 0.067803
 0, 1, 0.070670
 1, 1, 0.067778
 2, 1, 0.055838
 3, 1, 0.035610
 4, 1, 0.018858
 -4, 2, 0.042873
 -3, 2, 0.043148
 -2, 2, 0.062135
 -1, 2, 0.077159
 0, 2, 0.078632
 1, 2, 0.077111
 2, 2, 0.062213
 3, 2, 0.042969
 4, 2, 0.042352
 -4, 3, 0.067233
 -3, 3, 0.071627
 -2, 3, 0.079600
 -1, 3, 0.092733
 0, 3, 0.089301
 1, 3, 0.092586
 2, 3, 0.079487
 3, 3, 0.070912
 4, 3, 0.066614
 -4, 4, 0.085246
 -3, 4, 0.102386
 -2, 4, 0.105863
 -1, 4, 0.114856
 0, 4, 0.106967
 1, 4, 0.114566
 2, 4, 0.105455
 3, 4, 0.101431
 4, 4, 0.084689
 -4, 5, 0.091414
 -3, 5, 0.129038
 -2, 5, 0.136447
 -1, 5, 0.138438
 0, 5, 0.120561
 1, 5, 0.137918
 2, 5, 0.135784
 3, 5, 0.128054
 4, 5, 0.091168
 -4, 6, 0.084798
 -3, 6, 0.147239
 -2, 6, 0.167785
 -1, 6, 0.165034
 0, 6, 0.133973
 1, 6, 0.164196
 2, 6, 0.166897
 3, 6, 0.146491
 4, 6, 0.084936
 -4, 7, 0.070743
 -3, 7, 0.155004
 -2, 7, 0.200277
 -1, 7, 0.196529
 0, 7, 0.153794
 1, 7, 0.195369
 2, 7, 0.199317
 3, 7, 0.154716
 4, 7, 0.071145
 -4, 8, 0.054690
 -3, 8, 0.151710
 -2, 8, 0.229799
 -1, 8, 0.232953
 0, 8, 0.179401
 1, 8, 0.231502
 2, 8, 0.229080
 3, 8, 0.152013
 4, 8, 0.055240
 -4, 9, 0.039929
 -3, 9, 0.138477
 -2, 9, 0.248074
 -1, 9, 0.267721
 0, 9, 0.205822
 1, 9, 0.266104
 2, 9, 0.247820
 3, 9, 0.139283
 4, 9, 0.040494
 -4, 10, 0.028322
 -3, 10, 0.121178
 -2, 10, 0.255542
 -1, 10, 0.299377
 0, 10, 0.231549
 1, 10, 0.297759
 2, 10, 0.255843
 3, 10, 0.122325
 4, 10, 0.028830
 -4, 11, 0.020031
 -3, 11, 0.103393
 -2, 11, 0.255608
 -1, 11, 0.326569
 0, 11, 0.256275
 1, 11, 0.325078
 2, 11, 0.256488
 3, 11, 0.104735
 4, 11, 0.020450
 -4, 12, 0.014182
 -3, 12, 0.086683
 -2, 12, 0.249500
 -1, 12, 0.347593
 0, 12, 0.280054
 1, 12, 0.346342
 2, 12, 0.250904
 3, 12, 0.088102
 4, 12, 0.014511
 -4, 13, 0.010166
 -3, 13, 0.071715
 -2, 13, 0.238367
 -1, 13, 0.362124
 0, 13, 0.301946
 1, 13, 0.361217
 2, 13, 0.240214
 3, 13, 0.073119
 4, 13, 0.010416
 -4, 14, 0.007458
 -3, 14, 0.058824
 -2, 14, 0.224285
 -1, 14, 0.370797
 0, 14, 0.321466
 1, 14, 0.370292
 2, 14, 0.226480
 3, 14, 0.060152
 4, 14, 0.007645
