Observation volumes in steradian for an MWA instrumental beam in ultra-low band (~75MHz -- 100MHz), separated by pointings from zenith and w-plane index. Calculated from beam_ft_<>_9_15_xx_ultra_new.dat
Pointing from zenith, w-plane index, observation volume (str)
 -4, 0, 0.031337
 -3, 0, 0.044141
 -2, 0, 0.055207
 -1, 0, 0.062350
 0, 0, 0.064649
 1, 0, 0.062332
 2, 0, 0.055174
 3, 0, 0.044099
 4, 0, 0.031295
 -4, 1, 0.045399
 -3, 1, 0.063643
 -2, 1, 0.077475
 -1, 1, 0.083317
 0, 1, 0.082652
 1, 1, 0.083195
 2, 1, 0.077329
 3, 1, 0.063462
 4, 1, 0.045195
 -4, 2, 0.111960
 -3, 2, 0.141167
 -2, 2, 0.153512
 -1, 2, 0.146476
 0, 2, 0.132775
 1, 2, 0.145863
 2, 2, 0.152751
 3, 2, 0.140290
 4, 2, 0.111043
 -4, 3, 0.207159
 -3, 3, 0.263763
 -2, 3, 0.277238
 -1, 3, 0.247885
 0, 3, 0.213005
 1, 3, 0.246411
 2, 3, 0.275432
 3, 3, 0.262008
 4, 3, 0.205686
 -4, 4, 0.296987
 -3, 4, 0.404097
 -2, 4, 0.435338
 -1, 4, 0.385536
 0, 4, 0.324376
 1, 4, 0.383026
 2, 4, 0.432516
 3, 4, 0.401834
 4, 4, 0.295579
 -4, 5, 0.354676
 -3, 5, 0.526354
 -2, 5, 0.597919
 -1, 5, 0.542643
 0, 5, 0.456236
 1, 5, 0.539198
 2, 5, 0.594531
 3, 5, 0.524270
 4, 5, 0.353940
 -4, 6, 0.373524
 -3, 6, 0.608198
 -2, 6, 0.737571
 -1, 6, 0.698783
 0, 6, 0.599502
 1, 6, 0.694806
 2, 6, 0.734296
 3, 6, 0.606913
 4, 6, 0.373723
 -4, 7, 0.360547
 -3, 7, 0.642473
 -2, 7, 0.832345
 -1, 7, 0.827172
 0, 7, 0.728665
 1, 7, 0.823155
 2, 7, 0.829731
 3, 7, 0.642288
 4, 7, 0.361631
 -4, 8, 0.329870
 -3, 8, 0.639102
 -2, 8, 0.882126
 -1, 8, 0.922617
 0, 8, 0.840336
 1, 8, 0.919061
 2, 8, 0.880512
 3, 8, 0.640014
 4, 8, 0.331610
 -4, 9, 0.290131
 -3, 9, 0.606734
 -2, 9, 0.886362
 -1, 9, 0.968968
 0, 9, 0.906040
 1, 9, 0.966063
 2, 9, 0.885786
 3, 9, 0.608527
 4, 9, 0.292258
 -4, 10, 0.250316
 -3, 10, 0.561558
 -2, 10, 0.864293
 -1, 10, 0.984993
 0, 10, 0.943899
 1, 10, 0.982840
 2, 10, 0.864666
 3, 10, 0.564003
 4, 10, 0.252621
 -4, 11, 0.214036
 -3, 11, 0.512338
 -2, 11, 0.829124
 -1, 11, 0.986036
 0, 11, 0.971579
 1, 11, 0.984724
 2, 11, 0.830352
 3, 11, 0.515226
 4, 11, 0.216368
 -4, 12, 0.181509
 -3, 12, 0.460383
 -2, 12, 0.778673
 -1, 12, 0.960027
 0, 12, 0.965966
 1, 12, 0.959428
 2, 12, 0.780544
 3, 12, 0.463498
 4, 12, 0.183762
 -4, 13, 0.153434
 -3, 13, 0.409925
 -2, 13, 0.719372
 -1, 13, 0.911709
 0, 13, 0.931063
 1, 13, 0.911618
 2, 13, 0.721636
 3, 13, 0.413104
 4, 13, 0.155550
 -4, 14, 0.130126
 -3, 14, 0.364281
 -2, 14, 0.660342
 -1, 14, 0.857092
 0, 14, 0.886263
 1, 14, 0.857395
 2, 14, 0.662858
 3, 14, 0.367427
 4, 14, 0.132085
